Page,Frame,Motor 1,Motor 2,Motor 3,Motor 4,Motor 5,Motor 6,Motor 7,Motor 8,Motor 9,Motor 10,Motor 11,Motor 12,Motor 13,Motor 14,Motor 15,Motor 16,Motor 17,Motor 18
5 Rap chest,187,11.72,-12.01,-25.78,25.49,-103.42,103.12,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
5 Rap chest,237,11.72,-12.01,-107.52,25.49,-103.71,103.12,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
5 Rap chest,262,11.72,-12.01,-25.78,25.49,-103.42,103.12,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
5 Rap chest,312,11.72,-12.01,-25.78,113.09,-103.42,103.42,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
5 Rap chest,337,11.72,-12.01,-25.78,25.49,-103.42,103.12,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
6,50,11.72,-12.01,-107.52,25.49,-103.71,103.12,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
6,75,11.72,-12.01,-25.78,25.49,-103.42,103.12,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
6,125,11.72,-12.01,-25.78,113.09,-103.42,103.42,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
6,150,11.72,-12.01,-25.78,25.49,-103.42,103.12,-46.58,46.29,-1.17,0.88,-24.9,24.61,-67.38,67.09,39.55,-39.84,-1.17,0.88
6,337,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
7 Scratch head,125,89.65,80.86,-73.24,67.97,-71.19,14.36,-46.58,46.29,-1.17,0.88,-62.99,62.7,-67.38,67.09,24.9,-25.2,-1.17,0.88
7 Scratch head,187,85.25,80.86,-53.61,67.97,-103.71,14.36,-46.58,46.29,-1.17,0.88,-62.99,62.7,-67.38,67.09,24.9,-25.2,-1.17,0.88
7 Scratch head,249,89.65,80.86,-73.24,67.97,-71.19,14.36,-46.58,46.29,-1.17,0.88,-62.99,62.7,-67.38,67.09,24.9,-25.2,-1.17,0.88
7 Scratch head,311,85.25,80.86,-53.61,67.97,-103.71,14.36,-46.58,46.29,-1.17,0.88,-62.99,62.7,-67.38,67.09,24.9,-25.2,-1.17,0.88
7 Scratch head,436,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
8 Push up,187,-16.7,16.41,-72.95,72.66,-13.77,13.48,-46.29,46,0,-0.29,-120.41,120.12,-104,103.71,34.57,-34.86,0,-0.29
8 Push up,312,3.81,-4.1,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-122.17,121.88,-78.22,77.93,33.98,-34.28,0,-9.08
8 Push up,437,4.69,-4.98,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-127.44,121.88,-141.8,77.93,99.02,-34.28,0,-9.08
8 Push up,562,4.69,-4.98,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-51.86,121.88,-4.39,77.93,31.93,-34.28,0,-0.29
8 Push up,687,4.69,-4.98,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-51.86,133.3,-4.39,147.36,31.93,-96.97,0,-0.29
8 Push up,812,-12.6,12.3,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-4.98,4.69,-5.57,5.27,60.94,-61.23,0,-0.29
9,125,2.05,-2.34,-11.13,10.84,-102.25,101.95,-46.29,46,0,-0.29,-4.98,4.69,-5.57,5.27,73.83,-74.12,0,-0.29
9,250,-12.6,12.3,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-4.98,4.69,-5.57,5.27,60.94,-61.23,0,-0.29
10,9,-12.6,12.3,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-4.98,4.69,-5.57,5.27,60.94,-61.23,0,-0.29
10,134,4.69,-4.98,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-51.86,133.3,-4.39,147.36,31.93,-96.97,0,-0.29
10,209,4.69,-4.98,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-51.86,121.88,-4.39,77.93,31.93,-34.28,0,-9.08
10,334,4.69,-4.98,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-110.45,121.88,-124.51,77.93,93.46,-34.28,0,-9.08
10,409,-10.84,10.55,-81.45,81.15,-2.64,2.34,-46.29,46,0,-0.29,-122.17,121.88,-69.43,69.14,22.27,-22.56,0,-0.29
10,596,-43.07,42.77,-80.57,80.27,-0.29,0,-46.29,46,0,-0.29,-126.56,126.27,-130.08,132.71,44.82,-45.12,0,-0.29
10,783,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
11 Hand standing,125,56.54,-56.84,-69.43,69.14,-21.09,20.8,-46.58,46.29,-3.81,3.52,-133.3,133.01,-41.89,41.6,-9.08,8.79,-1.76,1.46
11 Hand standing,250,94.04,-94.34,-4.39,4.1,-87.3,87.01,-46.58,46.29,-4.1,3.81,-131.54,131.25,3.52,-3.81,6.74,-7.03,-3.22,2.93
11 Hand standing,312,92.58,-92.87,-0.29,0,0.29,-0.59,-46.58,46.29,-4.1,3.81,-131.54,131.25,3.22,-3.52,6.74,-7.03,-3.22,2.93
11 Hand standing,374,-53.91,53.61,-1.17,0.88,4.69,-4.98,-46.58,46.29,-4.1,3.81,-131.54,131.25,3.22,-3.52,6.74,-7.03,-3.22,2.93
11 Hand standing,499,0,-0.29,-60.35,60.06,-2.34,2.05,-46.58,46.29,-4.1,3.81,-131.54,131.25,3.22,-3.52,6.74,-7.03,-3.22,2.93
11 Hand standing,754,5.86,-6.15,-60.35,60.06,-2.34,2.05,-46.58,46.29,-4.1,3.81,29,-29.3,-17.58,17.29,11.72,-12.01,-3.22,2.93
12,125,5.86,-6.15,-60.35,60.06,-2.34,2.05,-46.58,46.29,-4.1,3.81,29,-29.3,-17.58,17.29,11.72,-12.01,-3.22,2.93
12,187,5.86,-6.15,-60.35,60.06,-2.34,2.05,-46.58,46.29,-4.1,3.81,29,-29.3,-17.58,17.29,11.72,-12.01,-3.22,2.93
12,312,5.86,-6.15,-60.35,60.06,-2.34,2.05,-46.58,46.29,-77.34,77.05,29,-29.3,-17.58,17.29,11.72,-12.01,-3.22,2.93
12,374,5.86,-6.15,-60.35,60.06,-2.34,2.05,-46.58,46.29,-77.34,77.05,29,-29.3,-17.58,17.29,11.72,-12.01,-3.22,2.93
13,250,5.86,-6.15,-60.35,60.06,-2.34,2.05,-46.58,46.29,-4.1,3.81,29,-29.3,-17.58,17.29,11.72,-12.01,-3.22,2.93
13,500,0,-0.29,-60.35,60.06,-2.34,2.05,-46.58,46.29,-4.1,3.81,-131.54,131.25,3.22,-3.52,6.74,-7.03,-3.22,2.93
13,625,29,-29.3,19.92,-20.21,-104.59,104.3,-46.58,46.29,-4.1,3.81,-133.89,133.59,-114.55,114.26,94.63,-94.92,-2.34,2.05
13,750,-34.57,34.28,-72.66,72.36,-16.99,16.7,-46.29,46,0,-0.29,-126.56,126.27,-138.87,138.57,56.54,-56.84,0,-0.29
13,1000,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
14 R blocking,75,-66.8,93.75,-37.21,58.3,-8.2,2.93,-46.88,46.29,-39.26,2.64,-65.33,9.08,-126.56,17.58,75.29,-18.75,-2.05,39.55
14 R blocking,125,-66.8,93.75,-37.21,58.3,-8.2,2.93,-46.88,46.29,-39.26,2.64,-65.33,9.08,-126.56,17.58,75.29,-18.75,-2.05,39.55
15,125,-86.43,86.13,-59.77,59.47,7.32,-7.62,-46.58,46.29,-1.17,0.88,-70.02,69.73,-131.25,130.96,70.02,-70.31,-1.17,0.88
15,150,-86.43,86.13,-59.77,59.47,7.32,-7.62,-46.58,46.29,-1.17,0.88,-70.02,69.73,-131.25,130.96,70.02,-70.31,-1.17,0.88
15,275,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
16 L blocking,75,-94.04,66.5,-58.59,36.91,-3.22,7.91,-46.88,46.29,-2.93,38.96,-9.38,65.04,-17.87,126.27,18.46,-75.59,-39.84,1.76
16 L blocking,125,-94.04,66.5,-58.59,36.91,-3.22,7.91,-46.88,46.29,-2.93,38.96,-9.38,65.04,-17.87,126.27,18.46,-75.59,-39.84,1.76
17,125,-86.43,86.13,-59.77,59.47,7.32,-7.62,-46.58,46.29,-1.17,0.88,-70.02,69.73,-131.25,130.96,70.02,-70.31,-1.17,0.88
17,150,-86.43,86.13,-59.77,59.47,7.32,-7.62,-46.58,46.29,-1.17,0.88,-70.02,69.73,-131.25,130.96,70.02,-70.31,-1.17,0.88
17,275,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
18 L kick,125,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,44.82,8.5,20.51,-47.46,44.82,-65.92,61.52,32.81,-31.93,17.29,20.21
18 L kick,175,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,2.93,26.37,-47.46,76.46,-65.92,124.22,32.81,-62.4,17.58,20.8
18 L kick,200,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,2.93,26.37,-32.81,85.25,-65.92,1.17,32.81,26.07,17.58,20.8
18 L kick,250,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,2.93,26.37,-32.81,85.25,-65.92,1.17,32.81,26.07,17.58,20.8
18 L kick,325,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,2.93,26.37,-47.46,76.46,-65.92,124.22,32.81,-62.4,17.58,20.8
18 L kick,450,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,44.82,8.5,20.51,-47.46,44.82,-65.92,61.52,32.81,-31.93,17.29,20.21
18 L kick,575,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
19 R kick,125,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,46,-20.8,-8.79,-45.12,47.17,-61.82,65.62,31.64,-33.11,-20.51,-19.04
19 R kick,175,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,-26.66,-0.29,-76.76,47.17,-124.51,65.62,62.11,-33.11,-21.09,-19.34
19 R kick,200,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,-26.66,-0.29,-85.55,32.52,-1.46,65.62,-26.37,-33.11,-21.09,-19.34
19 R kick,250,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,-26.66,-0.29,-85.55,32.52,-1.46,65.62,-26.37,-33.11,-21.09,-19.34
19 R kick,325,-81.15,80.86,-68.26,67.97,-14.65,14.36,-46.29,46,-26.66,-0.29,-76.76,47.17,-124.51,65.62,62.11,-33.11,-21.09,-19.34
19 R kick,450,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,46,-20.8,-5.86,-45.12,47.17,-61.82,65.62,31.64,-33.11,-20.51,-19.04
19 R kick,575,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
20 R attack,50,-14.06,27.83,-53.61,72.36,-101.66,53.91,-44.82,46.58,-11.72,24.02,-61.82,48.05,-88.77,67.09,38.96,-30.47,-2.93,3.52
20 R attack,62,4.39,-2.64,1.17,100.2,1.76,101.07,-46.58,46.58,-23.73,64.45,-69.43,11.72,-140.62,22.27,70.61,-8.2,-21.39,63.57
20 R attack,99,4.39,-2.64,1.17,100.2,1.76,101.07,-46.58,46.58,-23.73,64.45,-69.43,11.72,-140.62,22.27,70.61,-8.2,-21.39,63.57
20 R attack,224,-67.09,67.68,-60.64,61.52,-18.46,18.75,-46.58,46.58,-1.46,1.17,-70.61,67.68,-140.04,139.45,70.9,-71.78,-1.46,1.17
20 R attack,249,-67.09,67.68,-60.64,61.52,-18.46,18.75,-46.58,46.58,-1.46,1.17,-70.61,67.68,-140.04,139.45,70.9,-71.78,-1.46,1.17
20 R attack,436,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
21 L attack,50,-28.12,13.77,-72.66,53.32,-54.2,101.37,-46.88,44.53,-24.32,11.43,-48.34,61.52,-67.38,88.48,30.18,-39.26,-3.81,2.64
21 L attack,62,2.34,-4.69,-100.49,-1.46,-101.37,-2.05,-46.88,46.29,-64.75,23.44,-12.01,69.14,-22.56,140.33,7.91,-70.9,-63.87,21.09
21 L attack,99,2.34,-4.69,-100.49,-1.46,-101.37,-2.05,-46.88,46.29,-64.75,23.44,-12.01,69.14,-22.56,140.33,7.91,-70.9,-63.87,21.09
21 L attack,224,-67.09,67.68,-60.64,61.52,-18.46,18.75,-46.58,46.58,-1.46,1.17,-70.61,67.68,-140.04,139.45,70.9,-71.78,-1.46,1.17
21 L attack,249,-67.09,67.68,-60.64,61.52,-18.46,18.75,-46.58,46.58,-1.46,1.17,-70.61,67.68,-140.04,139.45,70.9,-71.78,-1.46,1.17
21 L attack,436,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
22 F attack,25,-25.49,80.57,35.45,67.38,-101.95,14.65,-46.58,46.58,-1.17,3.52,-48.34,48.05,-67.38,67.09,30.76,-30.47,-1.17,3.52
22 F attack,50,-25.49,27.83,35.45,0,-101.95,0,-48.63,46.58,-6.45,3.52,-17.87,48.05,-12.3,67.09,33.11,-48.05,-15.23,-19.92
22 F attack,75,49.22,38.96,-105.76,35.16,-15.23,13.77,-29.3,31.35,-2.05,13.77,-135.64,-25.2,-125.1,4.98,20.21,-72.36,-23.44,4.69
22 F attack,150,49.22,38.96,-105.76,35.16,-15.23,13.77,-29.3,31.35,-2.05,13.77,-135.64,-25.2,-125.1,4.98,20.21,-72.36,-23.44,4.69
22 F attack,200,-16.11,16.7,-64.75,44.53,-12.01,7.62,-29.3,31.35,-2.05,13.77,-112.79,84.67,-119.24,104,72.36,-93.16,-23.44,13.48
22 F attack,325,17.29,-17.58,11.13,-11.43,-104.59,104.3,-46.58,46.29,-4.1,3.81,-133.89,133.59,-114.55,114.26,82.91,-83.2,-2.34,2.05
22 F attack,450,-34.57,34.28,-72.66,72.36,-16.99,14.06,-46.29,46,0,-0.29,-126.56,126.27,-138.87,138.57,56.54,-56.84,0,-0.29
22 F attack,575,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
23 Defence,50,-96.68,96.39,-63.87,63.57,-6.45,6.15,-46.58,46.29,-1.17,0.88,-71.48,71.19,-129.2,128.91,70.61,-70.9,-1.17,0.88
24,62,-96.68,96.39,-63.87,63.57,-6.45,6.15,-46.29,47.17,-1.46,0,-69.43,69.14,-113.67,113.38,58.01,-58.3,-1.46,0
24,124,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
25 Sit down,75,-96.68,96.39,-63.87,63.57,-6.45,6.15,-46.58,46.29,-1.17,0.88,-71.48,71.19,-129.2,128.91,70.61,-70.9,-1.17,0.88
26 Stand up,62,-96.68,96.39,-63.87,63.57,-6.45,6.15,-46.29,47.17,-1.46,0,-69.43,69.14,-113.67,113.38,58.01,-58.3,-1.46,0
26 Stand up,124,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
27 F getup,25,-81.45,81.15,-0.88,0.59,-14.65,14.36,-46.58,46.29,-1.17,0.88,-48.63,48.34,-67.38,67.09,30.76,-31.05,-1.17,0.88
27 F getup,50,-44.24,43.95,-4.69,4.39,-3.22,2.93,-46.58,46.29,-1.17,0.88,-48.63,48.34,-67.38,67.09,30.76,-31.05,-1.17,0.88
27 F getup,175,29,-29.3,19.92,-20.21,-104.59,104.3,-46.58,46.29,-4.1,3.81,-133.89,133.59,-114.55,114.26,94.63,-94.92,-2.34,2.05
27 F getup,300,-34.57,34.28,-72.66,72.36,-16.99,16.7,-46.29,46,0,-0.29,-126.56,126.27,-138.87,138.57,56.54,-56.84,0,-0.29
27 F getup,550,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
28 B getup,62,-25.78,25.49,34.57,-34.86,-0.29,0,-46.58,46.29,-1.17,0.88,25.49,-25.78,-99.04,98.75,7.91,-8.2,-1.17,0.88
28 B getup,124,9.67,-9.96,75.59,-75.88,2.64,-2.93,-46.58,46.29,-1.17,0.88,25.78,-26.07,-122.48,122.19,83.2,-83.5,-1.17,0.88
28 B getup,249,-87.01,86.72,2.34,-2.64,2.64,-2.93,-46.58,46.29,-1.17,0.88,25.78,-26.07,-101.97,101.68,83.2,-80.57,-1.17,0.88
28 B getup,374,-98.73,98.44,-51.27,50.98,-4.39,4.1,-46.58,46.29,-1.17,0.88,-41.6,41.31,-96.97,96.68,53.91,-54.2,-1.17,0.88
28 B getup,499,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
29 Clap ready,125,65.92,-66.21,-61.82,61.52,-25.2,24.9,-46.29,46,-3.52,3.22,-48.05,47.75,-67.09,66.8,27.54,-27.83,-3.52,3.22
30 Clapping,9,65.92,-66.21,-61.82,61.52,-25.2,24.9,-46.29,46,-3.52,3.22,-48.05,47.75,-67.09,66.8,27.54,-27.83,-3.52,3.22
30 Clapping,34,65.92,-66.21,-89.06,88.77,-42.48,42.19,-46.29,46,-3.52,3.22,-48.05,47.75,-67.09,66.8,27.54,-27.83,-3.52,3.22
30 Clapping,46,65.92,-66.21,-89.06,88.77,-42.48,42.19,-46.29,46,-3.52,3.22,-48.05,47.75,-67.09,66.8,27.54,-27.83,-3.52,3.22
30 Clapping,171,65.92,-66.21,-61.82,61.52,-25.2,24.9,-46.29,46,-3.52,3.22,-48.05,47.75,-67.09,66.8,27.54,-27.83,-3.52,3.22
31 Walk Ready,125,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
32 F_S_L,10,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,0.29,2.93,-49.8,49.51,-79.39,78.81,39.26,-39.55,0.29,2.93
32 F_S_L,20,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,2.05,4.69,-49.22,48.63,-78.22,77.34,38.67,-38.67,2.05,4.69
32 F_S_L,30,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,3.52,6.15,-48.63,47.75,-76.76,75.59,38.09,-37.79,3.52,6.15
32 F_S_L,40,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,4.69,7.32,-47.75,46.88,-75,73.54,37.21,-36.91,4.69,7.32
32 F_S_L,50,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,2.64,9.38,-46.88,48.93,-73.24,77.93,36.33,-38.96,5.57,8.5
32 F_S_L,60,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-2.64,12.6,-46.29,53.91,-72.07,87.6,35.74,-43.95,6.15,9.38
32 F_S_L,70,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-5.27,14.06,-46,55.96,-71.48,91.99,35.45,-46,6.45,9.96
33,10,-81.74,80.27,-68.26,67.97,-14.65,14.36,-45.12,45.12,-2.64,12.6,-46.58,62.4,-71.78,86.43,37.79,-36.91,6.15,9.38
33,20,-77.34,84.67,-68.26,67.97,-14.65,14.36,-45.12,45.12,2.64,9.38,-45.41,60.35,-72.66,74.12,39.84,-26.66,5.57,8.5
33,30,-72.95,89.06,-68.26,67.97,-14.65,14.36,-45.12,45.12,4.69,7.32,-46,58.89,-74.12,67.97,41.02,-21.97,4.69,7.32
33,40,-69.14,92.87,-68.26,67.97,-14.65,14.36,-45.12,45.12,3.52,6.15,-46.88,60.35,-76.17,70.02,41.89,-22.85,3.52,6.15
33,50,-65.92,96.09,-68.26,67.97,-14.65,14.36,-45.12,45.12,2.05,4.69,-46.58,60.94,-77.34,72.66,43.36,-24.9,2.05,4.69
33,60,-63.57,98.44,-68.26,67.97,-14.65,14.36,-45.12,45.12,0.29,2.93,-45.41,60.64,-77.93,75.29,45.12,-27.54,0.29,2.93
33,70,-61.82,100.2,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-43.36,59.77,-77.34,77.05,46.58,-30.18,-1.46,1.17
34 F_S_R,10,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-3.22,-0.59,-49.8,49.51,-79.1,79.1,39.26,-39.55,-3.22,-0.59
34 F_S_R,20,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-4.98,-2.34,-48.93,48.93,-77.64,77.93,38.38,-38.96,-4.98,-2.34
34 F_S_R,30,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-6.45,-3.81,-48.05,48.34,-75.88,76.46,37.5,-38.38,-6.45,-3.81
34 F_S_R,40,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-7.62,-4.98,-47.17,47.46,-73.83,74.71,36.62,-37.5,-7.62,-4.98
34 F_S_R,50,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-9.67,-2.93,-49.22,46.58,-78.22,72.95,38.67,-36.62,-8.79,-5.86
34 F_S_R,60,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-12.89,2.34,-54.2,46,-87.89,71.78,43.65,-36.04,-9.67,-6.45
34 F_S_R,70,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-14.36,4.98,-56.25,45.7,-92.29,71.19,45.7,-35.74,-10.25,-6.74
35,10,-80.86,81.15,-68.26,67.97,-14.65,14.36,-45.12,45.12,-12.89,2.34,-62.7,46.29,-86.72,71.48,36.62,-38.09,-9.67,-6.45
35,20,-85.25,76.76,-68.26,67.97,-14.65,14.36,-45.12,45.12,-9.67,-2.93,-60.64,45.12,-74.41,72.36,26.37,-40.14,-8.79,-5.86
